"Date","Job.ID","Campaign","Email","Sent","Open.Rate","Deliverability.Rate","Unique.Click.Through.Rate"
2019-12-06,742135,"Senior","01",5516,12.48,98.6,2.32
2019-12-06,742137,"Junior","01",17059,22.99,97.78,3.32
2019-12-19,761149,"Senior","02",5466,15.58,98.52,1.75
2019-12-19,761147,"Junior","02",16986,20.23,97.77,2.75
2020-01-09,790439,"Senior","03",5362,15.91,98.47,2.22
2020-01-09,790440,"Junior","03",16838,20.12,97.79,2.92
2020-01-23,810750,"Senior","04",5247,15.02,99.62,2.18
2020-01-23,810751,"Junior","04",16425,18.29,99.78,3.27
2020-02-06,832593,"Senior","05",5212,14.93,99.62,0.87
2020-02-06,832590,"Junior","05",16371,16.7,99.82,1.53
2020-03-04,877524,"Senior","06",5251,15.18,98.1,1.15
2020-03-04,877523,"Junior","06",16747,17.1,97.49,1.58
2020-03-11,890526,"Senior","07",5213,14.95,98.06,1
2020-03-11,890524,"Junior","07",16693,17.18,97.55,1.53
